_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price,image,image/_source,image/_title,image/_alt
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,56,final amazon,final amazon,8,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,Samsung Galaxy E5 (White16GB),13490.00,http://ecx.images-amazon.com/images/I/51qDtV0PZkL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,80,final amazon,final amazon,8,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Microsoft Lumia 640 (Black 8GB),7999.00,http://ecx.images-amazon.com/images/I/51NivDyqLgL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,104,final amazon,final amazon,8,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,Rock Auto Micro-USB Cable for Smartphones (Yellow),399.00,http://ecx.images-amazon.com/images/I/31OamhOhbTL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,9,final amazon,final amazon,9,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Lenovo A536 (Black 8GB),6171.00,http://ecx.images-amazon.com/images/I/51-txpPSZYL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,33,final amazon,final amazon,9,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Lenovo A536 (Black 8GB),6171.00,http://ecx.images-amazon.com/images/I/51-txpPSZYL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,57,final amazon,final amazon,9,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,Panasonic Eluga S (Black),8999.00,http://ecx.images-amazon.com/images/I/31JvKEyCRVL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,81,final amazon,final amazon,9,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Lava Iris X8 (White 2GB RAM 16GB),7499.00,http://ecx.images-amazon.com/images/I/41A7MU1YBaL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,105,final amazon,final amazon,9,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,Nubia Z9 Mini (Black 16GB),16999.00,http://ecx.images-amazon.com/images/I/417tKDrBA1L._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,10,final amazon,final amazon,10,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Moto E 2nd Generation XT1506 (3G Black),5999.00,http://ecx.images-amazon.com/images/I/413tPll7BoL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,34,final amazon,final amazon,10,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Moto E 2nd Generation XT1506 (3G Black),5999.00,http://ecx.images-amazon.com/images/I/413tPll7BoL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,58,final amazon,final amazon,10,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,Karbonn A108 (Grey),2054.00,http://ecx.images-amazon.com/images/I/51XBe49tC-L._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,82,final amazon,final amazon,10,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Lenovo A6000 (Black 8GB),7149.00,http://ecx.images-amazon.com/images/I/413YxT8JLzL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,106,final amazon,final amazon,10,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,Blueberry S5.5 White Colored Android Smart Phone Mobile By Gadgetbucket,2099.00,http://ecx.images-amazon.com/images/I/41iF3bgv4PL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,11,final amazon,final amazon,11,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Bolt S301 (Black),3000.00,http://ecx.images-amazon.com/images/I/419dqJKy2RL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,35,final amazon,final amazon,11,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Bolt S301 (Black),3000.00,http://ecx.images-amazon.com/images/I/419dqJKy2RL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,59,final amazon,final amazon,11,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Canvas Nitro 2 E311 (Grey-Silver),8609.00,http://ecx.images-amazon.com/images/I/31sL7gWPtvL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,83,final amazon,final amazon,11,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Phicomm Energy 653 4G (Black),4999.00,http://ecx.images-amazon.com/images/I/41naRojai4L._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,107,final amazon,final amazon,11,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,CaseJunction Selfie Stick with Bluetooth Shutter Remote Telescopic Monopod for All Smartphones,499.00,http://ecx.images-amazon.com/images/I/41eXNW-ohoL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,12,final amazon,final amazon,12,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Karbonn Titanium High 2 S203 (Black-Blue),3999.00,http://ecx.images-amazon.com/images/I/51lhz04L2hL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,36,final amazon,final amazon,12,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,Karbonn Titanium High 2 S203 (Black-Blue),3999.00,http://ecx.images-amazon.com/images/I/51lhz04L2hL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,60,final amazon,final amazon,12,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,Micromax Bolt A24 (Black),1793.00,http://ecx.images-amazon.com/images/I/41v8sLTdPFL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,84,final amazon,final amazon,12,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Meizu m2 note (Grey),9999.00,http://ecx.images-amazon.com/images/I/41VqWILGEwL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,108,final amazon,final amazon,12,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,Aeoss Sports Running Jogging Gym Armband Case Cover Holder Compitbale for all smart phones till 5.5" inch iphone...,299.00,http://ecx.images-amazon.com/images/I/51uR6rd11sL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,13,final amazon,final amazon,13,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,LG Nexus 5X LG-H791 (16GB Charcoal Black),31990.00,http://ecx.images-amazon.com/images/I/41MofcekjdL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,37,final amazon,final amazon,13,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,LG Nexus 5X LG-H791 (16GB Charcoal Black),31990.00,http://ecx.images-amazon.com/images/I/41MofcekjdL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones|,61,final amazon,final amazon,13,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=3&rh=n%3A976419031%2Ck%3Asmartphones,Intex Aqua 3G Pro (Champagne),3395.00,http://ecx.images-amazon.com/images/I/418U5awcanL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones|,85,final amazon,final amazon,13,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=2&rh=n%3A976419031%2Ck%3Asmartphones,Samsung S3 Neo i9300I Dual Sim Touch Screen GSM Smartphone(Blue),11479.00,http://ecx.images-amazon.com/images/I/41gPLM84aLL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones|,109,final amazon,final amazon,13,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=5&rh=n%3A976419031%2Ck%3Asmartphones,IFITech Smart Switch Control Your Electronics From Anywhere with the Home Automation App for Smartphones and...,3500.00,http://ecx.images-amazon.com/images/I/31yuWbAFivL._AA160_.jpg,,,Product Details
webpage/url:http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones|,14,final amazon,final amazon,14,http://www.amazon.in/smartphones-Electronics/s?ie=UTF8&page=1&rh=n%3A976419031%2Ck%3Asmartphones,iPro iP40 13000mAh Portable Powerbank for Smartphones & Tablets13000 mAh,1199.00,http://ecx.images-amazon.com/images/I/51AbiNU7RUL._AA160_.jpg,,,Product Details
