_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price
,88,infibeam Result Data,infibeam Result Data,88,http://www.infibeam.com/Mobiles/search?page=5,Samsung Galaxy J1 Ace (White),Rs. 6300
,89,infibeam Result Data,infibeam Result Data,89,http://www.infibeam.com/Mobiles/search?page=5,Samsung Galaxy J1 Ace (Black),Rs. 6300
,90,infibeam Result Data,infibeam Result Data,90,http://www.infibeam.com/Mobiles/search?page=5,Micromax Canvas Knight 2 E471 (White Silver),Rs. 15799
,91,infibeam Result Data,infibeam Result Data,91,http://www.infibeam.com/Mobiles/search?page=5,Micromax Canvas Knight 2 E471 (White Champ),Rs. 15799
,92,infibeam Result Data,infibeam Result Data,92,http://www.infibeam.com/Mobiles/search?page=5,BlackBerry Passport (Black),Rs. 39500
,93,infibeam Result Data,infibeam Result Data,93,http://www.infibeam.com/Mobiles/search?page=5,Lenovo A536 (Black),Rs. 6265
,94,infibeam Result Data,infibeam Result Data,94,http://www.infibeam.com/Mobiles/search?page=5,Lenovo A536 (White),Rs. 6629
,95,infibeam Result Data,infibeam Result Data,95,http://www.infibeam.com/Mobiles/search?page=5,Gionee Elife S7 (Black),Rs. 17222
,96,infibeam Result Data,infibeam Result Data,96,http://www.infibeam.com/Mobiles/search?page=5,Gionee Elife S7 (White),Rs. 17222
,97,infibeam Result Data,infibeam Result Data,97,http://www.infibeam.com/Mobiles/search?page=5,iBall mSLR Cobalt 4 (Brown),Rs. 8019
,98,infibeam Result Data,infibeam Result Data,98,http://www.infibeam.com/Mobiles/search?page=5,Intex Aqua Speed (White Champ),Rs. 6029
,99,infibeam Result Data,infibeam Result Data,99,http://www.infibeam.com/Mobiles/search?page=5,Micromax X610 (Black),Rs. 1179
,100,infibeam Result Data,infibeam Result Data,100,http://www.infibeam.com/Mobiles/search?page=5,Samsung Galaxy S6 Edge Plus 32 GB (Silver),Rs. 57900
,101,infibeam Result Data,infibeam Result Data,101,http://www.infibeam.com/Mobiles/search?page=6,Samsung Galaxy S6 Edge Plus 32 GB (Gold),Rs. 57900
,102,infibeam Result Data,infibeam Result Data,102,http://www.infibeam.com/Mobiles/search?page=6,Micromax Bolt X088 (Black Silver),Rs. 908
,103,infibeam Result Data,infibeam Result Data,103,http://www.infibeam.com/Mobiles/search?page=6,Nokia 215 Dual SIM (Black),Rs. 2295
,104,infibeam Result Data,infibeam Result Data,104,http://www.infibeam.com/Mobiles/search?page=6,Nokia 215 Dual SIM multicolor,Rs. 2295
,105,infibeam Result Data,infibeam Result Data,105,http://www.infibeam.com/Mobiles/search?page=6,HTC One M9 Plus (Gold-Silver),Rs. 36777
,106,infibeam Result Data,infibeam Result Data,106,http://www.infibeam.com/Mobiles/search?page=6,Micromax X601 (Black),Rs. 921
,107,infibeam Result Data,infibeam Result Data,107,http://www.infibeam.com/Mobiles/search?page=6,Cheers Smart 5 (Velvet Grey),Rs. 2899
,108,infibeam Result Data,infibeam Result Data,108,http://www.infibeam.com/Mobiles/search?page=6,Cheers Smart 5 (Milky White),Rs. 3248
,109,infibeam Result Data,infibeam Result Data,109,http://www.infibeam.com/Mobiles/search?page=6,Sony Xperia M4 Aqua Dual (White),Rs. 17549
,110,infibeam Result Data,infibeam Result Data,110,http://www.infibeam.com/Mobiles/search?page=6,Sony Xperia M4 Aqua Dual (Black),Rs. 17549
,111,infibeam Result Data,infibeam Result Data,111,http://www.infibeam.com/Mobiles/search?page=6,Samsung Galaxy J1 (Blue),Rs. 6490
,112,infibeam Result Data,infibeam Result Data,112,http://www.infibeam.com/Mobiles/search?page=6,Samsung Galaxy J1 (White),Rs. 6490
,113,infibeam Result Data,infibeam Result Data,113,http://www.infibeam.com/Mobiles/search?page=6,Samsung Galaxy J1 (Black),Rs. 6490
,114,infibeam Result Data,infibeam Result Data,114,http://www.infibeam.com/Mobiles/search?page=6,Panasonic Eluga I (White),Rs. 7595
,115,infibeam Result Data,infibeam Result Data,115,http://www.infibeam.com/Mobiles/search?page=6,Panasonic Eluga I (Black),Rs. 7595
,116,infibeam Result Data,infibeam Result Data,116,http://www.infibeam.com/Mobiles/search?page=6,Micromax Canvas Doodle 4 (White),Rs. 7099
,117,infibeam Result Data,infibeam Result Data,117,http://www.infibeam.com/Mobiles/search?page=6,Samsung Galaxy A8 (Gold),Rs. 32500
,118,infibeam Result Data,infibeam Result Data,118,http://www.infibeam.com/Mobiles/search?page=6,Samsung Galaxy A8 (White),Rs. 32500
,119,infibeam Result Data,infibeam Result Data,119,http://www.infibeam.com/Mobiles/search?page=6,Samsung Galaxy A8 (Black),Rs. 32500
,120,infibeam Result Data,infibeam Result Data,120,http://www.infibeam.com/Mobiles/search?page=6,Xiaomi Mi 3 16GB Unboxed (Metallic Grey),Rs. 10019
